日期,商品名稱,身份別,多方交易口數,多方交易契約金額,空方交易口數,空方交易契約金額,多空交易口數淨額,多空交易契約金額淨額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空未平倉口數淨額,多空未平倉契約金額淨額
2026/02/04,臺股期貨,自營商,12013,77516793,11445,73872217,568,3644576,7076,45906632,7373,47828373,-297,-1921741
2026/02/04,臺股期貨,投信,403,2611100,141,914355,262,1696745,31460,203962610,5019,32539181,26441,171423429
2026/02/04,臺股期貨,外資及陸資,73487,473598238,72690,468581747,797,5016491,22837,148067426,48536,314706709,-25699,-166639283
2026/02/05,臺股期貨,自營商,13587,87150739,10676,68489859,2911,18660880,8882,56710887,6406,40910101,2476,15800786
2026/02/05,臺股期貨,投信,136,868998,492,3138434,-356,-2269437,31267,199498805,5182,33063233,26085,166435572
2026/02/05,臺股期貨,外資及陸資,86741,556797144,87729,563328808,-988,-6531664,23294,148641344,50037,319319998,-26743,-170678654
2026/02/06,臺股期貨,自營商,16526,104572941,17748,112459504,-1222,-7886563,8489,54019957,7218,45932494,1271,8087463
2026/02/06,臺股期貨,投信,333,2117178,559,3548978,-226,-1431800,31115,197828498,5256,33416597,25859,164411901
2026/02/06,臺股期貨,外資及陸資,106618,675689404,104982,665226117,1636,10463287,22080,140399032,47182,300041857,-25102,-159642825
2026/02/09,臺股期貨,自營商,10837,70477973,12817,83337013,-1980,-12859040,5997,39191276,6654,43494872,-657,-4303596
2026/02/09,臺股期貨,投信,5179,33856625,4190,27366782,989,6489843,31865,208131369,5017,32770290,26848,175361079
2026/02/09,臺股期貨,外資及陸資,72878,473018918,72715,472041203,163,977715,24970,163108997,48555,317181575,-23585,-154072578
2026/02/10,臺股期貨,自營商,15252,100783995,17134,113319054,-1882,-12535060,6590,43954965,9364,62559023,-2774,-18604058
2026/02/10,臺股期貨,投信,19392,128803568,18053,119640848,1339,9162720,32800,219096835,4613,30802343,28187,188294492
2026/02/10,臺股期貨,外資及陸資,96116,634681012,97509,644072054,-1393,-9391042,29343,195796710,54227,362020760,-24884,-166224050
2026/02/11,臺股期貨,自營商,13892,93320501,12856,86389183,1036,6931318,6973,47065169,8844,59818223,-1871,-12753054
2026/02/11,臺股期貨,投信,13543,91640556,12815,86486677,728,5153879,33372,225837768,4457,30163193,28915,195674575
2026/02/11,臺股期貨,外資及陸資,92045,617859647,94814,636755112,-2769,-18895465,29426,198852903,57091,386047536,-27665,-187194633
2026/02/23,臺股期貨,自營商,15343,104647637,14719,100415617,624,4232019,3646,24789283,7091,48209557,-3445,-23420274
